GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
bad-calculator,edu.pnu.badcalc,App,46,0,2,0,15,0,4,0,3,0
bad-calculator,edu.pnu.badcalc,Calculator,31,87,8,6,4,20,5,9,0,7
